repeat,k,ari
15,3,0.48709132553176115
15,4,0.5404317095720996
15,5,0.7042232348845793
15,6,0.7837771832808537
15,7,0.7868901271853332
15,8,0.6307435346003952
15,9,0.6309785721658769
15,10,0.7089186540346292
16,2,0.06284858553158974
16,3,0.3140536848072856
16,4,0.49204900108277955
16,5,0.5722770000248804
16,6,0.6330331656230133
16,7,0.6814901404722247
16,8,0.48931265922921097
16,9,0.4834210817320599
16,10,0.5862990768165142
17,2,0.5139162456110302
17,3,0.5217963225706391
17,4,0.6313771583061216
17,5,0.7336562051537452
17,6,0.7962498690033777
17,7,0.812453977304911
17,8,0.6418825404309327
17,9,0.7318642745709828
17,10,0.6373436034038198
18,2,0.8080650161849864
18,3,0.795811085477005
18,4,0.5475126792149363
18,5,0.7312189483596256
18,6,0.7756212775928508
18,7,0.8269361663614689
18,8,0.5990666038368799
18,9,0.6443866743891536
18,10,0.7406071204808493
19,2,0.30720953278116936
19,3,0.7975173618091895
19,4,0.8299477118134283
19,5,0.8141540791288391
19,6,0.839681188748096
19,7,0.8322111268548185
19,8,0.5658074392817245
19,9,0.5918764587983496
19,10,0.6698199710043632
20,2,0.4850885562017733
20,3,0.543947169390977
20,4,0.6748539610438642
20,5,0.689616882892795
20,6,0.7250844935831596
20,7,0.7936606789615764
20,8,0.6188203967226525
20,9,0.6175172306977464
20,10,0.5638634191427461
21,2,0.9599960816486464
21,3,0.9307001283330957
21,4,0.5998157107358578
21,5,0.9272110368654889
21,6,0.9289306947124972
21,7,0.6961266478072818
21,8,0.6823170304614375
21,9,0.6765281075977206
21,10,0.7376381617219313
22,2,0.4042525710779961
22,3,0.8081718779973144
22,4,0.8036503596334559
22,5,0.7122844407480085
22,6,0.7746438990882946
22,7,0.7663219900889813
22,8,0.6614215913185209
22,9,0.6002532783706238
22,10,0.6340944169460855
23,2,0.06284858553158974
23,3,0.41730841502332133
23,4,0.5662164434231912
23,5,0.7269764586880714
23,6,0.7815461744691781
23,7,0.7876801792199436
23,8,0.660183703198694
23,9,0.6249079800571984
23,10,0.7034044157419397
24,2,0.5139162456110302
24,3,0.513189790389277
24,4,0.7418593506031733
24,5,0.7530664180626045
24,6,0.7263077748926456
24,7,0.8032168712055033
24,8,0.5397703896007476
24,9,0.5438152083489285
24,10,0.6228215914312983
25,2,0.5138096559663675
25,3,0.32554425058659026
25,4,0.6460217981824486
25,5,0.7497841698051332
25,6,0.8296968672567008
25,7,0.8506842484348164
25,8,0.6915908670897772
25,9,0.791598637150585
25,10,0.7497104087373822
26,2,0.06284858553158974
26,3,0.3113604350433447
26,4,0.6369462640354338
26,5,0.7581038327887558
26,6,0.8247443005522482
26,7,0.8417307699513277
26,8,0.680945561336403
26,9,0.6406829853750419
26,10,0.7198844925286049
27,2,0.543336255159078
27,3,0.5453349974666759
27,4,0.6145004834375614
27,5,0.6802442680862263
27,6,0.7422550521329822
27,7,0.7665382486519774
27,8,0.6248452406181281
27,9,0.5948700948051362
